,participant,block,order,spelling,wnw,resp,accuracy,prev.acc,rt,prev.rt,freq,prev.wnw,fg,wfnw,resp.1,ve
3590,1,8,3790,frassoir,2,2,1,1,508,539,NA,2,NA,7,2,0
3591,1,8,3791,schuin,1,1,1,1,541,508,0.9833,2,3,3,1,0
3592,1,8,3792,vergroeid,1,1,1,1,621,541,0.3659,1,2,2,1,0
3593,1,8,3793,weerklank,1,1,1,1,618,621,0.1372,1,2,2,1,0
3594,1,8,3794,stille,1,1,1,1,487,618,8.6441,1,5,5,1,1
3595,1,8,3795,ekters,2,1,0,1,650,487,NA,1,NA,7,1,0
3596,1,8,3796,pe,2,2,1,0,678,650,NA,2,NA,7,2,0
3597,1,8,3797,woegt,2,2,1,1,624,678,NA,2,NA,7,2,0
3598,1,8,3798,petsjes,2,2,1,1,541,624,NA,2,NA,7,2,0
3599,1,8,3799,broten,2,2,1,1,605,541,NA,2,NA,7,2,0
3600,1,8,3800,hoekbui,2,2,1,1,715,605,NA,2,NA,7,2,0
3601,1,8,3801,stepe,2,2,1,1,619,715,NA,2,NA,7,2,0
3602,1,8,3802,ferm,1,1,1,1,600,619,0.1829,2,2,2,1,0
3603,1,8,3803,bichtte,2,2,1,1,693,600,NA,1,NA,7,2,0
3604,1,8,3804,lins,2,2,1,1,784,693,NA,2,NA,7,2,0
3605,1,8,3805,nelk,2,2,1,1,614,784,NA,2,NA,7,2,0
3606,1,8,3806,schekten,2,2,1,1,707,614,NA,2,NA,7,2,0
3607,1,8,3807,nagrijp,2,2,1,1,620,707,NA,2,NA,7,2,1
3608,1,8,3808,petjes,2,1,0,1,490,620,NA,2,NA,7,1,0
3609,1,8,3809,doeke,2,2,1,0,604,490,NA,2,NA,7,2,0
3610,1,8,3810,dekking,1,1,1,1,505,604,23.8741,2,6,6,1,0
3611,1,8,3811,veek,2,2,1,1,491,505,NA,1,NA,7,2,0
3612,1,8,3812,jasmijn,1,1,1,1,541,491,0.8461,2,3,3,1,0
3613,1,8,3813,vinnig,1,1,1,1,541,541,0.0686,1,1,1,1,0
3614,1,8,3814,draaide,1,1,1,1,492,541,13.7436,1,5,5,1,0
3615,1,8,3815,tei,2,2,1,1,494,492,NA,1,NA,7,2,0
3616,1,8,3816,pichten,2,2,1,1,577,494,NA,2,NA,7,2,0
3617,1,8,3817,diechtreid,2,2,1,1,671,577,NA,2,NA,7,2,0
3618,1,8,3818,poomes,2,2,1,1,538,671,NA,2,NA,7,2,0
3619,1,8,3819,voelen,1,1,1,1,555,538,117.8611,2,6,6,1,0
3620,1,8,3820,rijpen,1,1,1,1,571,555,0.5717,1,3,3,1,0
3621,1,8,3821,kruders,2,2,1,1,537,571,NA,1,NA,7,2,0
3622,1,8,3822,biele,2,2,1,1,538,537,NA,2,NA,7,2,0
3623,1,8,3823,karma,1,1,1,1,635,538,5.7398,2,5,5,1,0
3624,1,8,3824,lotion,1,1,1,1,536,635,1.3263,1,NA,NA,1,0
3625,1,8,3825,biscuits,1,1,1,1,504,536,0.3202,1,2,2,1,0
3626,1,8,3826,aargrift,2,2,1,1,858,504,NA,1,NA,7,2,0
3627,1,8,3827,kraters,1,1,1,1,525,858,0.3888,2,2,2,1,0
3628,1,8,3828,daad,1,1,1,1,542,525,16.6478,1,6,6,1,0
3629,1,8,3829,worm,1,1,1,1,525,542,9.1014,1,5,5,1,0
3630,1,8,3830,kools,2,2,1,1,1054,525,NA,1,NA,7,2,0
3631,1,8,3831,kwal,1,1,1,1,522,1054,1.7837,2,4,4,1,0
3632,1,8,3832,laakst,2,2,1,1,651,522,NA,1,NA,7,2,0
3633,1,8,3833,hijt,2,2,1,1,583,651,NA,2,NA,7,2,0
3634,1,8,3834,hege,2,2,1,1,598,583,NA,2,NA,7,2,0
3635,1,8,3835,groeiend,1,1,1,1,500,598,0.5031,2,3,3,1,0
3636,1,8,3836,daai,2,2,1,1,725,500,NA,1,NA,7,2,0
3637,1,8,3837,eenhoorns,1,1,1,1,1166,725,0.8232,2,3,3,1,0
3638,1,8,3838,bagen,2,2,1,1,741,1166,NA,1,NA,7,2,0
3639,1,8,3839,kroonprins,1,1,1,1,492,741,1.1434,2,3,3,1,0
3640,1,8,3840,naaisters,1,1,1,1,670,492,0.2287,1,2,2,1,0
3641,1,8,3841,trechters,1,1,1,1,538,670,0,1,1,1,1,0
3642,1,8,3842,bandiet,1,1,1,1,538,538,4.6651,1,5,5,1,0
3643,1,8,3843,graap,2,2,1,1,714,538,NA,1,NA,7,2,0
3644,1,8,3844,knuksel,2,2,1,1,723,714,NA,2,NA,7,2,0
3645,1,8,3845,rede,1,1,1,1,508,723,5.2139,2,5,5,1,0
3646,1,8,3846,braamten,2,2,1,1,652,508,NA,1,NA,7,2,0
3647,1,8,3847,bolkste,2,2,1,1,536,652,NA,2,NA,7,2,0
3648,1,8,3848,bogjes,2,2,1,1,745,536,NA,2,NA,7,2,0
3649,1,8,3849,voeding,1,1,1,1,449,745,2.6069,2,4,4,1,0
3650,1,8,3850,eloes,2,2,1,1,484,449,NA,1,NA,7,2,0
3651,1,8,3851,deuen,2,2,1,1,503,484,NA,2,NA,7,2,0
3652,1,8,3852,beisjes,2,2,1,1,521,503,NA,2,NA,7,2,0
3653,1,8,3853,geslopt,2,2,1,1,491,521,NA,2,NA,7,2,0
3654,1,8,3854,roolsels,2,2,1,1,636,491,NA,2,NA,7,2,0
3655,1,8,3855,farcen,1,1,1,1,937,636,0,2,1,1,1,0
3656,1,8,3856,plissies,2,2,1,1,522,937,NA,1,NA,7,2,0
3657,1,8,3857,dildbeeld,2,2,1,1,555,522,NA,2,NA,7,2,0
3658,1,8,3858,noud,2,2,1,1,506,555,NA,2,NA,7,2,0
3659,1,8,3859,groer,2,2,1,1,588,506,NA,2,NA,7,2,0
3660,1,8,3860,bood,1,1,1,1,619,588,12.4401,2,5,5,1,0
3661,1,8,3861,stierwoord,2,2,1,1,679,619,NA,1,NA,7,2,0
3662,1,8,3862,blaften,1,1,1,1,482,679,0.2058,2,2,2,1,0
3663,1,8,3863,gemoed,1,1,1,1,485,482,0.5946,1,3,3,1,0
3664,1,8,3864,sage,1,1,1,1,664,485,1.6236,1,4,4,1,0
3665,1,8,3865,wasgoed,1,1,1,1,498,664,1.5093,1,4,4,1,0
3666,1,8,3866,ouder,1,1,1,1,484,498,45.0498,1,6,6,1,0
3667,1,8,3867,wode,2,2,1,1,551,484,NA,1,NA,7,2,0
